sample_name,gene_name,gene_type,ct_val
FVH2819_t72_ctrl2,SMAD2,target,23.81
FVH2819_t72_ctrl2,SMAD3,target,26.91
FVH2819_t72_ctrl2,ACTB,HK,18.06
FVH2819_t72_ctrl2,HPRT1,HK,23.56
FVH2819_t72_ctrl2,TBP,HK,26.58
FVH2819_t72_irr1,TGFB,target,27.37
FVH2819_t72_irr1,TGFBRI,target,
FVH2819_t72_irr1,TGFBRII,target,27.75
FVH2819_t72_irr1,SMAD2,target,25.15
FVH2819_t72_irr1,SMAD3,target,27.2
FVH2819_t72_irr1,ACTB,HK,19.77
FVH2819_t72_irr1,HPRT1,HK,
FVH2819_t72_irr1,TBP,HK,27.27
FVH2819_t72_irr2,TGFB,target,28.03
FVH2819_t72_irr2,TGFBRI,target,
FVH2819_t72_irr2,TGFBRII,target,27.95
FVH2819_t72_irr2,SMAD2,target,25.23
FVH2819_t72_irr2,SMAD3,target,27.44
FVH2819_t72_irr2,ACTB,HK,19.32
FVH2819_t72_irr2,HPRT1,HK,
FVH2819_t72_irr2,TBP,HK,27.77
